iter	Passed	Remaining
0	3	323
1	6	330
2	9	305
3	11	285
4	13	264
5	15	238
6	15	211
7	16	190
8	17	173
9	17	159
10	18	148
11	18	139
12	19	131
13	20	124
14	20	118
15	21	112
16	22	108
17	22	103
18	23	100
19	24	96
20	24	93
21	25	90
22	26	87
23	26	85
24	27	82
25	28	80
26	28	78
27	29	75
28	30	73
29	30	71
30	31	69
31	31	67
32	32	66
33	33	64
34	34	63
35	34	62
36	35	60
37	36	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	52
43	39	50
44	40	49
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	45	39
54	46	38
55	47	37
56	47	36
57	48	35
58	49	34
59	49	33
60	50	32
61	50	31
62	51	30
63	52	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
