iter	Passed	Remaining
0	147	146997
1	147	73797
2	148	49395
3	149	37189
4	150	29894
5	151	25023
6	151	21540
7	152	18917
8	153	16887
9	154	15248
10	154	13907
11	155	12793
12	156	11848
13	156	11031
14	157	10323
15	157	9707
16	158	9162
17	159	8678
18	159	8248
19	160	7858
20	160	7504
21	161	7182
22	162	6886
23	162	6616
24	163	6366
25	163	6135
26	164	5922
27	165	5731
28	165	5553
29	166	5389
30	167	5230
31	167	5080
32	168	4938
33	169	4808
34	169	4681
35	170	4562
36	170	4449
37	171	4342
38	172	4240
39	172	4143
40	173	4052
41	173	3965
42	174	3881
43	174	3801
44	175	3726
45	176	3654
46	176	3585
47	177	3520
48	178	3456
49	178	3395
50	179	3336
51	179	3279
52	180	3224
53	181	3171
54	181	3119
55	182	3070
56	182	3022
57	183	2976
58	183	2932
59	184	2888
60	184	2847
61	185	2806
62	186	2767
63	186	2729
64	187	2692
65	187	2658
66	188	2625
67	189	2592
68	189	2559
69	190	2528
70	190	2497
71	191	2468
72	192	2440
73	192	2412
74	193	2386
75	194	2360
76	194	2334
77	195	2309
78	196	2285
79	196	2262
80	197	2238
81	197	2215
82	198	2190
83	198	2168
84	199	2146
85	200	2127
86	200	2107
87	201	2087
88	202	2068
89	202	2049
90	203	2032
91	204	2014
92	204	1997
93	205	1980
94	206	1963
95	206	1946
96	207	1930
97	207	1914
98	208	1898
99	209	1882
100	209	1866
101	210	1851
102	210	1836
103	211	1821
104	212	1809
105	212	1795
106	213	1781
107	214	1768
108	214	1755
109	215	1743
110	216	1731
111	216	1718
112	217	1706
113	218	1694
114	218	1683
115	219	1671
116	219	1659
117	220	1648
118	221	1636
119	221	1625
120	222	1614
121	222	1602
122	223	1592
123	223	1582
124	224	1572
125	225	1562
126	225	1551
127	226	1542
128	227	1533
129	227	1524
130	228	1515
131	229	1506
132	229	1498
133	230	1489
134	231	1480
135	231	1473
136	232	1464
137	233	1456
138	233	1448
139	234	1440
140	235	1432
141	235	1423
142	236	1416
143	236	1408
144	237	1400
145	238	1393
146	238	1386
147	239	1379
148	240	1373
149	241	1367
150	242	1361
151	243	1355
152	243	1349
153	244	1343
154	245	1336
155	245	1330
156	246	1323
157	247	1317
158	247	1310
159	248	1305
160	249	1299
161	250	1293
162	250	1287
163	251	1281
164	251	1275
165	253	1273
166	254	1267
167	254	1262
168	255	1256
169	256	1251
170	256	1245
171	257	1240
172	258	1234
173	258	1229
174	259	1224
175	260	1218
176	261	1214
177	261	1209
178	262	1204
179	263	1199
180	264	1194
181	264	1189
182	265	1184
183	266	1180
184	266	1174
185	267	1169
186	268	1165
187	268	1160
188	269	1156
189	270	1151
190	270	1146
191	271	1142
192	272	1137
193	273	1134
194	273	1130
195	274	1125
196	275	1121
197	275	1117
198	276	1112
199	277	1108
200	277	1103
201	278	1099
202	278	1095
203	279	1090
204	280	1086
205	280	1081
206	281	1077
207	281	1073
208	282	1069
209	283	1065
210	283	1061
211	284	1057
212	285	1054
213	285	1050
214	286	1046
215	287	1043
216	288	1039
217	288	1035
218	289	1032
219	290	1028
220	290	1024
221	291	1021
222	291	1017
223	292	1013
224	293	1009
225	293	1006
226	294	1003
227	295	999
228	295	996
229	296	992
230	297	990
231	298	987
232	299	984
233	299	980
234	300	977
235	300	973
236	301	970
237	302	967
238	302	963
239	303	960
240	303	956
241	304	953
242	305	950
243	305	946
244	306	943
245	306	940
246	307	937
247	307	933
248	308	930
249	309	927
250	310	925
251	310	922
252	311	919
253	312	916
254	312	913
255	313	910
256	313	907
257	314	904
258	315	901
259	315	898
260	316	895
261	316	892
262	317	889
263	317	886
264	318	883
265	319	880
266	319	877
267	320	875
268	320	872
269	321	869
270	322	866
271	322	864
272	323	861
273	324	858
274	324	856
275	325	853
276	326	851
277	326	848
278	327	845
279	327	843
280	328	840
281	328	837
282	329	834
283	330	832
284	330	829
285	331	826
286	331	824
287	332	821
288	333	819
289	333	817
290	334	815
291	335	812
292	335	810
293	336	807
294	336	805
295	337	802
296	338	800
297	338	797
298	339	795
299	339	793
300	340	790
301	341	788
302	341	786
303	342	783
304	342	781
305	343	779
306	344	776
307	344	774
308	345	772
309	346	770
310	346	768
311	347	765
312	347	763
313	348	761
314	349	759
315	349	756
316	350	754
317	350	752
318	351	750
319	352	748
320	352	746
321	353	744
322	353	741
323	354	739
324	355	737
325	355	735
326	356	733
327	356	731
328	357	729
329	358	727
330	359	725
331	359	723
332	360	721
333	360	719
334	361	717
335	361	715
336	362	713
337	363	711
338	363	709
339	364	707
340	365	705
341	365	703
342	366	701
343	366	699
344	367	697
345	368	695
346	368	693
347	369	691
348	369	689
349	370	687
350	371	686
351	371	684
352	372	682
353	373	680
354	373	679
355	374	677
356	374	675
357	375	673
358	376	671
359	376	669
360	377	668
361	378	666
362	378	664
363	379	662
364	379	661
365	380	659
366	381	657
367	381	655
368	382	654
369	383	652
370	383	650
371	384	649
372	385	647
373	385	645
374	386	643
375	386	642
376	387	640
377	387	638
378	388	636
379	389	634
380	389	633
381	390	631
382	390	629
383	391	627
384	392	626
385	392	624
386	393	622
387	393	620
388	394	619
389	394	617
390	395	616
391	396	614
392	396	612
393	397	611
394	398	609
395	398	608
396	399	606
397	399	604
398	400	603
399	400	601
400	401	599
401	402	598
402	402	596
403	403	595
404	404	593
405	404	592
406	405	590
407	406	589
408	406	587
409	407	586
410	408	584
411	408	583
412	409	581
413	410	580
414	410	579
415	411	577
416	412	576
417	412	574
418	413	573
419	413	571
420	414	570
421	415	568
422	415	567
423	416	565
424	416	564
425	417	562
426	418	561
427	418	559
428	419	558
429	420	557
430	420	555
431	421	554
432	422	552
433	422	551
434	423	550
435	424	548
436	424	547
437	425	545
438	425	544
439	426	542
440	427	541
441	427	539
442	428	538
443	428	536
444	429	535
445	429	534
446	430	532
447	431	531
448	432	530
449	432	529
450	433	527
451	434	526
452	434	525
453	435	523
454	436	522
455	436	521
456	437	519
457	438	518
458	438	517
459	439	515
460	440	514
461	441	514
462	442	512
463	442	511
464	443	510
465	444	509
466	445	508
467	446	507
468	446	506
469	447	504
470	448	503
471	448	502
472	449	500
473	450	499
474	450	498
475	451	497
476	452	495
477	452	494
478	453	493
479	454	492
480	454	490
481	455	489
482	456	488
483	457	487
484	457	486
485	458	484
486	458	483
487	459	482
488	460	480
489	460	479
490	461	478
491	462	477
492	463	476
493	463	475
494	464	473
495	465	472
496	465	471
497	466	470
498	467	469
499	467	467
500	468	466
501	469	465
502	470	464
503	470	463
504	471	462
505	472	461
506	473	460
507	473	458
508	474	457
509	475	456
510	475	455
511	476	454
512	477	453
513	477	451
514	478	450
515	479	449
516	479	448
517	480	447
518	481	446
519	482	445
520	483	444
521	483	442
522	484	441
523	484	440
524	485	439
525	485	437
526	486	436
527	487	435
528	487	434
529	488	433
530	489	431
531	489	430
532	490	429
533	491	428
534	491	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	421
540	495	420
541	496	419
542	497	418
543	497	417
544	498	416
545	499	415
546	499	413
547	500	412
548	500	411
549	501	410
550	501	409
551	502	407
552	503	406
553	503	405
554	504	404
555	505	403
556	505	402
557	506	401
558	507	400
559	507	399
560	508	397
561	509	396
562	509	395
563	510	394
564	511	393
565	511	392
566	512	391
567	512	390
568	513	389
569	514	387
570	514	386
571	515	385
572	516	384
573	516	383
574	517	382
575	518	381
576	518	380
577	519	379
578	520	378
579	520	377
580	521	376
581	522	375
582	522	373
583	523	372
584	524	371
585	524	370
586	525	369
587	526	368
588	526	367
589	527	366
590	527	365
591	528	364
592	529	363
593	530	362
594	531	361
595	531	360
596	532	359
597	533	358
598	533	357
599	534	356
600	535	355
601	535	354
602	536	353
603	536	352
604	537	350
605	538	350
606	538	348
607	539	347
608	540	346
609	540	345
610	541	344
611	542	343
612	543	342
613	543	341
614	544	340
615	544	339
616	545	338
617	546	337
618	546	336
619	547	335
620	547	334
621	548	333
622	549	332
623	549	331
624	550	330
625	551	329
626	551	328
627	552	327
628	552	326
629	553	325
630	554	324
631	554	323
632	555	322
633	556	321
634	556	319
635	557	318
636	557	317
637	558	316
638	559	315
639	559	314
640	560	313
641	561	313
642	561	311
643	562	311
644	563	310
645	563	308
646	564	307
647	565	307
648	566	306
649	566	305
650	567	304
651	568	303
652	568	302
653	569	301
654	570	300
655	570	299
656	571	298
657	572	297
658	572	296
659	573	295
660	573	294
661	574	293
662	575	292
663	575	291
664	576	290
665	577	289
666	577	288
667	579	287
668	579	286
669	580	285
670	581	284
671	581	283
672	582	283
673	583	282
674	584	281
675	584	280
676	585	279
677	586	278
678	586	277
679	587	276
680	587	275
681	588	274
682	589	273
683	590	272
684	590	271
685	591	270
686	592	269
687	592	268
688	593	267
689	594	266
690	594	265
691	595	265
692	596	264
693	596	263
694	597	262
695	597	261
696	598	260
697	598	259
698	599	258
699	600	257
700	600	256
701	601	255
702	601	254
703	602	253
704	603	252
705	604	251
706	604	250
707	605	249
708	605	248
709	606	247
710	607	246
711	607	245
712	608	244
713	608	243
714	609	242
715	610	241
716	610	241
717	611	240
